"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-82.124","49.383","BONNER LAKE","6070QK6","ON","16.7","0","NA","29.0","0","3.0","0","0.0","0","NA","99.2","0","NA","0.0","12","","","NA","56.6","15.7"
"-79.849","47.695","EARLTON A","6072223","ON","17.0","4","NA","29.7","4","5.3","4","","","NA","43.2","4","NA","","7","","","NA","42.3","14.1"
"-79.849","47.695","EARLTON CLIMATE","6072230","ON","16.9","0","NA","30.3","0","5.4","0","","","NA","65.9","0","NA","","8","","","NA","50.5","15.8"
"-82.468","49.412","KAPUSKASING A","6073976","ON","16.5","0","NA","28.2","0","3.4","0","0.0","0","NA","65.1","0","NA","","10","","","NA","58.9","13.6"
"-82.468","49.412","KAPUSKASING A","6073978","ON","16.5","0","NA","28.2","0","3.4","0","","","NA","","","NA","","","","","NA","58.9","13.6"
"-82.444","49.406","KAPUSKASING CDA ON","6073980","ON","16.0","4","NA","27.0","4","2.6","4","","","NA","63.0","4","NA","","9","","","NA","61.3","8.5"
"-80.000","48.150","KIRKLAND LAKE CS","6074211","ON","16.9","0","NA","28.3","0","5.3","0","","","NA","","","NA","","","","","NA","49.3","16.0"
"-80.608","51.291","MOOSONEE","6075420","ON","16.3","0","NA","29.3","0","1.4","0","","","NA","51.3","0","NA","","8","","","NA","76.3","25.1"
"-80.650","51.267","MOOSONEE UA","6075425","ON","16.4","12","1.6","29.0","12","2.0","12","0.0","12","NA","30.0","12","NA","","7","","","NA","40.8","11.1"
"-80.618","51.292","MOOSONEE RCS","6075435","ON","16.8","0","NA","29.6","0","2.8","0","","","NA","52.6","0","NA","","8","","","NA","66.4","28.5"
"-84.164","49.747","NAGAGAMI (AUT)","6075543","ON","15.5","0","NA","27.6","0","2.9","0","","","NA","74.5","0","NA","","13","","","NA","87.4","9.5"
"-85.901","51.659","OGOKI POST A","6075786","ON","16.4","0","NA","29.5","0","3.0","0","","","NA","96.6","0","NA","","8","","","NA","63.5","14.0"
"-81.390","48.557","TIMMINS CLIMATE","6078282","ON","15.9","0","NA","29.6","0","0.8","0","","","NA","42.7","0","NA","","12","","","NA","73.6","9.8"
"-81.377","48.571","TIMMINS A","6078286","ON","15.8","0","NA","30.1","0","0.4","0","","","NA","","","NA","","","","","NA","78.2","9.1"
"-78.267","45.533","ALGONQUIN PARK EAST GATE","6080192","ON","16.3","0","NA","28.3","0","2.2","0","","","NA","","","NA","","","","","NA","65.8","11.7"
"-79.424","46.364","NORTH BAY A","6085680","ON","17.4","0","NA","27.5","0","6.1","0","","","NA","40.0","1","NA","","4","","","NA","40.7","20.7"
"-79.403","46.375","NORTH BAY AIRPORT","6085695","ON","17.2","0","NA","27.3","0","7.8","0","","","NA","45.2","0","NA","","5","","","NA","42.7","18.3"
"-82.567","45.882","GORE BAY-MANITOULIN","6092919","ON","18.6","0","NA","27.1","0","6.8","0","","","NA","48.1","1","NA","","6","","","NA","19.0","36.6"
"-82.567","45.883","GORE BAY CLIMATE","6092920","ON","18.7","1","NA","27.0","1","7.2","1","","","NA","45.0","1","NA","","5","","","NA","17.3","37.7"
"-82.950","45.633","GREAT DUCK ISLAND (AUT)","6093005","ON","18.4","1","NA","25.9","1","11.1","1","","","NA","","","NA","","","","","NA","13.8","25.4"
"-76.113","45.186","APPLETON","6100285","ON","19.1","0","NA","30.0","0","7.0","0","0.0","0","NA","85.2","0","NA","0.0","8","","","NA","11.7","44.4"
"-75.748","44.635","BROCKVILLE CLIMATE","6100970","ON","19.1","0","NA","30.9","0","8.6","0","","","NA","49.7","0","NA","","9","","","NA","12.3","46.3"
"-75.667","44.600","BROCKVILLE PCC","6100971","ON","19.0","2","-1.3","30.0","2","2.0","2","0.0","2","NA","46.8","2","NA","0.0","10","","","NA","21.1","49.8"
"-77.367","46.050","CHALK RIVER AECL","6101335","ON","20.2","13","1.2","31.5","13","7.5","13","0.0","13","NA","22.2","13","NA","","6","","","NA","4.0","43.7"
"-74.749","45.016","CORNWALL","6101874","ON","21.0","0","0.3","34.0","0","10.0","0","0.0","0","NA","89.8","0","101.0","0.0","9","","","NA","1.8","95.9"
"-76.253","45.032","DRUMMOND CENTRE","6102J13","ON","19.2","0","0.1","29.5","0","6.5","0","0.0","0","NA","52.4","0","70.0","0.0","9","","","NA","11.1","48.5"
"-75.850","44.417","GRENADIER ISLAND","6103024","ON","20.9","0","NA","31.0","0","12.6","0","","","NA","","","NA","","","","","NA","1.0","89.4"
"-76.690","44.428","HARTINGTON IHD","6103367","ON","20.0","0","0.3","30.0","0","10.0","0","0.0","0","NA","70.0","0","89.0","0.0","10","","","NA","5.9","68.5"
"-75.633","45.000","KEMPTVILLE CS","6104027","ON","19.3","0","NA","30.6","0","7.6","0","","","NA","","","NA","","","","","NA","11.6","52.9"
"-76.599","44.223","KINGSTON CLIMATE","6104142","ON","19.9","0","NA","27.9","0","10.0","0","","","NA","57.7","0","NA","","11","","","NA","4.5","62.8"
"-76.597","44.226","KINGSTON A","6104152","ON","20.0","0","NA","28.0","0","10.4","0","","","NA","","","NA","","","","","NA","4.1","65.6"
"-76.083","44.517","LYNDHURST SHAWMERE","6104725","ON","20.5","3","0.4","29.5","3","11.5","3","0.0","3","NA","68.2","3","NA","0.0","11","","","NA","1.5","70.5"
"-74.963","45.251","MOOSE CREEK WELLS","6105397","ON","18.0","0","NA","29.9","0","4.1","0","","","NA","38.2","0","NA","","5","","","NA","28.7","29.3"
"-76.784","45.054","OMPAH-SEITZ","6105762","ON","19.0","2","NA","29.5","2","8.0","2","0.0","2","NA","40.2","2","NA","0.0","9","","","NA","11.9","41.6"
"-75.717","45.383","OTTAWA CDA","6105976","ON","19.6","4","-0.3","30.0","4","8.0","4","0.0","4","NA","65.8","4","NA","0.0","11","","","NA","5.1","49.6"
"-75.717","45.383","OTTAWA CDA RCS","6105978","ON","19.6","0","NA","29.7","0","8.5","0","","","NA","63.9","0","NA","","8","","","NA","7.3","58.1"
"-75.667","45.317","OTTAWA INTL A","6106001","ON","19.6","0","NA","30.4","0","9.4","0","0.0","0","NA","52.7","0","NA","","8","","","NA","6.3","54.8"
"-77.252","45.860","PEMBROKE CLIMATE","6106367","ON","18.1","0","NA","30.6","0","4.8","0","","","NA","22.6","0","NA","","7","","","NA","24.3","28.6"
"-77.317","45.950","PETAWAWA AWOS 2","6106396","ON","19.2","8","NA","31.0","8","7.1","8","","","NA","27.5","1","NA","","11","","","NA","10.2","36.7"
"-75.064","45.287","ST. ALBERT","6107276","ON","19.1","0","0.0","30.0","0","7.0","0","0.0","0","NA","59.6","0","62.0","0.0","12","","","NA","13.5","47.1"
"-77.250","45.883","PETAWAWA HOFFMAN","610FC98","ON","20.0","0","NA","32.5","0","8.5","0","0.0","0","NA","28.2","0","NA","0.0","8","","","NA","6.1","68.6"
