"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-90.467","49.033","UPSALA (AUT)","6049095","ON","7.1","0","NA","23.0","0","-7.0","0","","","NA","47.6","0","NA","","9","","","NA","337.9","0.0"
"-89.119","48.369","WELCOME ISLAND (AUT)","6049443","ON","6.5","0","NA","16.1","0","0.1","0","","","NA","34.4","3","NA","","7","","","NA","356.8","0.0"
"-84.814","47.723","LAKE SUPERIOR PROVINCIAL PARK","6054425","ON","6.1","0","NA","20.0","0","-6.0","0","","","NA","89.5","0","NA","","8","","","NA","370.4","0.0"
"-84.510","46.485","SAULT STE MARIE A","6057591","ON","7.3","0","NA","22.6","0","-4.9","0","9.1","0","NA","104.2","0","NA","","10","","","NA","332.6","0.0"
"-84.517","46.478","SAULT STE. MARIE AIRPORT","6057593","ON","7.4","1","NA","21.7","1","-3.5","1","","","NA","101.7","1","NA","","9","","","NA","318.7","0.0"
"-84.786","47.967","WAWA A","6059413","ON","5.8","0","NA","17.3","0","-4.5","0","","","NA","","","NA","","","","","NA","377.4","0.0"
"-81.483","45.967","KILLARNEY (AUT)","605DJ25","ON","8.6","0","NA","19.9","0","0.9","0","","","NA","","","NA","","","","","NA","290.6","0.0"
"-83.347","47.820","CHAPLEAU A","6061365","ON","6.8","1","NA","22.3","1","-5.7","1","","","NA","","","NA","","","","","NA","335.5","0.0"
"-82.025","46.193","MASSEY","6065006","ON","9.3","0","-1.6","22.0","0","-3.0","0","0.0","0","0.0","119.3","0","156.0","0.0","12","","","NA","268.9","0.0"
"-80.303","46.215","MONETVILLE 2","6065252","ON","9.9","4","NA","24.0","4","-2.5","4","5.2","4","NA","93.8","4","NA","0.0","12","","","NA","217.4","0.0"
"-80.796","46.632","SUDBURY CLIMATE","6068145","ON","8.5","0","NA","21.4","0","-3.3","0","","","NA","114.9","0","NA","","12","","","NA","293.3","0.0"
"-80.798","46.626","SUDBURY A","6068153","ON","8.8","1","NA","21.3","1","-2.1","1","12.0","0","NA","97.0","0","NA","","12","","","NA","276.7","0.0"
"-82.124","49.383","BONNER LAKE","6070QK6","ON","6.9","3","NA","23.0","1","-5.0","2","0.0","1","NA","19.8","1","NA","0.0","5","","","NA","310.1","0.0"
"-79.849","47.695","EARLTON A","6072223","ON","8.0","0","NA","20.8","0","-3.3","0","","","NA","83.5","0","NA","","11","","","NA","310.0","0.0"
"-79.849","47.695","EARLTON CLIMATE","6072230","ON","8.0","0","NA","21.0","0","-3.4","0","","","NA","85.0","0","NA","","11","","","NA","310.7","0.0"
"-82.468","49.412","KAPUSKASING A","6073976","ON","7.0","0","NA","22.5","0","-4.4","0","0.0","0","NA","21.8","0","NA","","7","","","NA","340.1","0.0"
"-82.468","49.412","KAPUSKASING A","6073978","ON","6.9","1","NA","22.5","1","-4.4","1","","","NA","","","NA","","","","","NA","332.2","0.0"
"-82.444","49.406","KAPUSKASING CDA ON","6073980","ON","7.0","0","NA","22.7","0","-4.2","0","","","NA","22.6","0","NA","","6","","","NA","341.4","0.0"
"-80.000","48.150","KIRKLAND LAKE CS","6074211","ON","7.0","2","NA","20.6","2","-5.0","2","","","NA","31.3","2","NA","","8","","","NA","320.3","0.0"
"-80.608","51.291","MOOSONEE","6075420","ON","4.9","0","NA","22.8","0","-10.9","0","","","NA","","","NA","","","","","NA","407.5","0.0"
"-80.650","51.267","MOOSONEE UA","6075425","ON","4.9","4","-1.8","22.0","4","-11.0","4","3.0","4","NA","59.7","4","NA","","13","","","NA","352.8","0.0"
"-80.618","51.292","MOOSONEE RCS","6075435","ON","5.0","1","NA","23.7","1","-10.4","1","","","NA","51.2","1","NA","","11","","","NA","390.7","0.0"
"-84.164","49.747","NAGAGAMI (AUT)","6075543","ON","6.1","0","NA","21.5","0","-5.0","0","","","NA","52.5","0","NA","","9","","","NA","368.8","0.0"
"-85.901","51.659","OGOKI POST A","6075786","ON","6.3","1","NA","21.5","1","-3.8","1","","","NA","34.3","1","NA","","8","","","NA","352.0","0.0"
"-81.390","48.557","TIMMINS CLIMATE","6078282","ON","7.1","0","NA","22.7","0","-5.2","0","","","NA","57.5","0","NA","","7","","","NA","338.0","0.0"
"-81.377","48.571","TIMMINS A","6078286","ON","7.0","0","NA","22.7","0","-5.2","0","1.0","30","NA","","","NA","","","","","NA","341.8","0.0"
"-78.267","45.533","ALGONQUIN PARK EAST GATE","6080192","ON","8.3","1","NA","21.5","1","-4.2","1","","","NA","72.2","10","NA","","8","","","NA","292.4","0.0"
"-79.424","46.364","NORTH BAY A","6085680","ON","8.8","0","NA","20.6","0","-2.4","0","","","NA","112.3","0","NA","","8","","","NA","284.0","0.0"
"-79.403","46.375","NORTH BAY AIRPORT","6085695","ON","8.7","0","NA","20.7","0","-2.1","0","","","NA","132.1","0","NA","","10","","","NA","288.4","0.0"
"-82.567","45.882","GORE BAY-MANITOULIN","6092919","ON","8.9","0","NA","21.6","0","-1.5","0","","","NA","106.1","0","NA","","12","","","NA","282.4","0.0"
"-82.567","45.883","GORE BAY CLIMATE","6092920","ON","9.0","1","NA","21.5","1","-1.2","1","","","NA","93.2","1","NA","","9","","","NA","269.6","0.0"
"-82.950","45.633","GREAT DUCK ISLAND (AUT)","6093005","ON","6.8","6","NA","14.2","6","-0.3","6","","","NA","","","NA","","","","","NA","279.8","0.0"
"-76.113","45.186","APPLETON","6100285","ON","11.4","0","NA","24.0","0","-0.5","0","0.2","0","NA","117.8","0","NA","0.0","13","","","NA","203.5","0.0"
"-75.748","44.635","BROCKVILLE CLIMATE","6100970","ON","11.3","0","NA","23.8","0","2.1","0","","","NA","119.9","0","NA","","14","","","NA","206.8","0.0"
"-75.667","44.600","BROCKVILLE PCC","6100971","ON","10.8","3","-2.3","24.5","3","1.0","3","0.0","3","NA","127.4","3","NA","0.0","11","","","NA","201.1","0.3"
"-77.367","46.050","CHALK RIVER AECL","6101335","ON","10.6","9","-1.9","24.0","9","-2.5","9","0.0","9","NA","73.1","9","NA","0.0","14","","","NA","163.1","0.0"
"-74.749","45.016","CORNWALL","6101874","ON","12.4","0","-1.5","24.0","0","1.5","0","0.0","0","0.0","97.2","0","111.0","0.0","12","","","NA","176.0","2.0"
"-76.253","45.032","DRUMMOND CENTRE","6102J13","ON","11.5","0","-1.2","24.0","0","-1.0","0","0.0","0","0.0","87.8","0","114.0","0.0","14","","","NA","200.8","0.3"
"-76.690","44.428","HARTINGTON IHD","6103367","ON","11.8","0","-1.2","23.5","0","2.0","0","0.0","0","0.0","132.2","0","144.0","0.0","14","","","NA","193.8","0.3"
"-75.633","45.000","KEMPTVILLE CS","6104027","ON","11.0","0","NA","23.4","0","1.3","0","","","NA","79.2","0","NA","","13","","","NA","218.5","0.0"
"-76.599","44.223","KINGSTON CLIMATE","6104142","ON","10.8","1","NA","24.3","1","1.8","1","","","NA","124.7","1","NA","","13","","","NA","215.2","0.0"
"-76.597","44.226","KINGSTON A","6104152","ON","10.8","0","NA","24.4","0","2.2","0","","","NA","","","NA","","","","","NA","222.7","0.0"
"-76.083","44.517","LYNDHURST SHAWMERE","6104725","ON","12.4","4","-0.8","25.0","4","2.5","4","0.0","4","NA","114.0","4","NA","0.0","11","","","NA","151.7","1.5"
"-74.963","45.251","MOOSE CREEK WELLS","6105397","ON","10.7","0","NA","23.9","0","-0.1","0","","","NA","71.2","10","NA","","9","","","NA","226.1","0.0"
"-76.784","45.054","OMPAH-SEITZ","6105762","ON","10.3","0","NA","23.0","0","-1.5","0","0.0","0","NA","118.8","0","NA","0.0","15","","","NA","238.7","0.0"
"-75.717","45.383","OTTAWA CDA","6105976","ON","11.7","0","-1.8","23.5","0","1.5","0","0.0","0","0.0","102.6","0","118.0","0.0","12","","","NA","195.7","1.0"
"-75.717","45.383","OTTAWA CDA RCS","6105978","ON","11.3","0","NA","23.0","0","1.7","0","","","NA","95.0","0","NA","","14","","","NA","207.7","0.0"
"-75.667","45.317","OTTAWA INTL A","6106001","ON","11.1","0","NA","23.9","0","1.0","0","0.0","0","NA","89.0","0","NA","","14","","","NA","213.2","0.0"
"-77.252","45.860","PEMBROKE CLIMATE","6106367","ON","9.9","0","NA","23.8","0","-4.1","0","","","NA","88.7","0","NA","","13","","","NA","251.6","0.0"
"-77.317","45.950","PETAWAWA AWOS 2","6106396","ON","9.7","2","NA","23.6","2","-3.3","2","","","NA","78.0","1","NA","","18","","","NA","239.5","0.0"
"-75.064","45.287","ST. ALBERT","6107276","ON","11.3","0","-1.5","23.5","0","0.0","0","0.0","0","0.0","118.6","0","130.0","0.0","14","","","NA","208.0","1.3"
"-77.250","45.883","PETAWAWA HOFFMAN","610FC98","ON","11.1","0","NA","25.0","0","-2.5","0","0.0","0","NA","111.3","0","NA","0.0","15","","","NA","215.2","0.0"
"-79.319","44.267","BALDWIN","6110480","ON","11.4","2","NA","25.5","2","-1.0","2","0.0","2","NA","101.0","2","NA","0.0","13","","","NA","190.9","0.0"
"-79.736","44.385","BARRIE LANDFILL","6110556","ON","9.5","14","NA","23.5","10","-1.5","9","0.0","10","NA","79.6","10","NA","0.0","10","","","NA","144.9","0.0"
"-79.403","45.140","BEATRICE CLIMATE","6110607","ON","9.1","0","NA","21.4","0","-2.3","0","","","NA","100.8","0","NA","","12","","","NA","275.6","0.0"
"-79.539","44.631","COLDWATER WARMINSTER","6111769","ON","10.7","0","NA","25.0","0","0.0","0","0.0","0","NA","88.0","0","NA","0.0","13","","","NA","225.4","0.0"
"-80.217","44.500","COLLINGWOOD","6111792","ON","10.4","0","NA","26.0","0","-0.9","0","","","NA","87.4","0","NA","","10","","","NA","237.0","0.0"
"-79.217","44.547","LAGOON CITY","6114295","ON","10.6","0","NA","23.0","0","1.8","0","","","NA","","","NA","","","","","NA","230.9","0.0"
"-80.712","44.269","MARKDALE","6114979","ON","10.7","4","NA","27.5","4","-3.0","4","0.0","4","NA","79.2","4","NA","0.0","10","","","NA","197.9","1.0"
"-79.303","44.975","MUSKOKA","6115529","ON","9.6","0","NA","23.3","0","-2.1","0","","","NA","101.0","1","NA","","11","","","NA","259.0","0.0"
"-79.439","44.603","ORILLIA BRAIN","6115811","ON","10.8","1","NA","25.5","1","0.5","0","0.0","1","NA","94.6","1","NA","0.0","15","","","NA","215.8","0.0"
"-80.044","45.344","PARRY SOUND CCG","6116257","ON","9.7","1","NA","21.7","1","0.5","1","","","NA","","","NA","","","","","NA","250.0","0.0"
"-79.633","44.399","SHANTY BAY","6117684","ON","10.9","0","-1.2","25.5","0","-0.5","0","0.0","0","0.0","86.6","0","108.0","0.0","13","","","NA","219.0","0.0"
"-79.550","44.483","BARRIE-ORO","6117700","ON","10.1","0","NA","24.0","0","-0.8","0","","","NA","98.4","0","NA","","12","","","NA","244.9","0.0"
"-79.488","45.425","SPRUCEDALE","6117981","ON","","","NA","","","","","0.0","0","NA","96.2","0","NA","0.0","15","","","NA","",""
"-80.468","44.551","THORNBURY 3","6118240","ON","","","NA","","","","","0.0","0","NA","122.0","0","NA","0.0","16","","","NA","",""
